
Еженедельные средние потребительские цены (тарифы) на отдельные товары и услуги, рубль, Российская Федерация, Яблоки, кг
;2011;2012;2013;2014;2015;2016;2017;2018;2019;
21 неделя (на 30 мая 2016 года);;;;;;100,33;;;;
22 неделя (на 6 июня 2016 года);;;;;;100;;;;
23 неделя (на 13 июня 2016 года);;;;;;99,98;;;;
24 неделя (на 20 июня 2016 года);;;;;;100,43;;;;
25 неделя (на 27 июня 2016 года);;;;;;100,75;;;;
26 неделя (на 4 июля 2016 года);;;;;;100,9;;;;
27 неделя (на 11 июля 2016 года);;;;;;100,83;;;;
28 неделя (на 18 июля 2016 года);;;;;;100,88;;;;
29 неделя (на 25 июля 2016 года);;;;;;101,24;;;;
30 неделя (на 1 августа 2016 года);;;;;;100,49;;;;
31 неделя (на 8 августа 2016 года);;;;;;99,53;;;;
32 неделя (на 15 августа 2016 года);;;;;;98,09;;;;
33 неделя (на 22 августа 2016 года);;;;;;96,36;;;;
34 неделя (на 29 августа 2016 года);;;;;;94,96;;;;
35 неделя (на 5 сентября 2016 года);;;;;;93,09;;;;
36 неделя (на 12 сентября 2016 года);;;;;;91,47;;;;
37 неделя (на 19 сентября 2016 года);;;;;;89,83;;;;
38 неделя (на 26 сентября 2016 год);;;;;;88,03;;;;
39 неделя (на 3 октября 2016 года);;;;;;86,44;;;;
40 неделя (на 10 октября 2016 года);;;;;;85,3;;;;
41 неделя (на 17 октября 2016 года);;;;;;84,48;;;;
42 неделя (на 24 октября 2016 года);;;;;;83,2;;;;
43 неделя (на 31 октября 2016 года);;;;;;82,54;;;;
44 неделя (на 7 ноября 2016 года);;;;;;82,18;;;;
45 неделя (на 14 ноября 2016 года);;;;;;81,76;;;;
46 неделя (на 21 ноября 2016 года);;;;;;81,79;;;;
47 неделя (на 28 ноября 2016 года);;;;;;81,49;;;;
48 неделя (на 5 декабря 2016 года);;;;;;81,65;;;;
49 неделя (на 12 декабря 2016 года);;;;;;81,76;;;;
50 неделя (на 19 декабря 2016 года);;;;;;81,79;;;;
51 неделя (на 26 декабря 2016 года);;;;;;82,17;;;;
1 неделя (на 09 января 2017 года);;;;;;;82,35;;;
2 неделя (на 16 января 2017 года);;;;;;82,38;82,38;;;
3 неделя (на 23 января 2017 года);;;;;;;82,72;;;
4 неделя (на 30 января 2017 года);;;;;;;83,05;;;
5 неделя (на 6 февраля 2017 года);;;;;;;83,58;;;
6 неделя (на 13 февраля 2017 года);;;;;;;83,55;;;
7 неделя (на 20 февраля 2017 года);;;;;;;83,51;;;
8 неделя (на 27 февраля 2017 года);;;;;;;83,58;;;
9 неделя (на 6 марта 2017 года);;;;;;;83,63;;;
10  неделя (на 13 марта 2017 года);;;;;;;83,54;;;
11 неделя (на 20 марта 2017 года);;;;;;;83,31;;;
12 неделя (на 27 марта 2017 года);;;;;;;83,27;;;
13 неделя (на 3 апреля 2017 года);;;;;;;83,38;;;
14 неделя (на 10 апреля 2017 года);;;;;;;83,19;;;
15 неделя (на 17 апреля 2017 года);;;;;;;83,34;;;
16 неделя (на 24 апреля 2017 года);;;;;;;83,6;;;
17 неделя (на 2 мая 2017 года);;;;;;;84,28;;;
18 неделя (на 10 мая 2017 года);;;;;;;85,3;;;
19 неделя (на 15 мая 2017 года);;;;;;;86,41;;;
20 неделя (на 22 мая 2017 года);;;;;;;88,14;;;
21 неделя (на 29 мая 2017 года);;;;;;;90,66;;;
22 неделя (на 5 июня 2017 года);;;;;;;93,94;;;
23 неделя (на 13 июня 2017 года);;;;;;;97,85;;;
24 неделя (на 19 июня 2017 года);;;;;;;101,04;;;
25 неделя (на 26 июня 2017 года);;;;;;;104,58;;;
26 неделя (на 3 июля 2017 года);;;;;;;108,55;;;
27 неделя (на 10 июля 2017 года);;;;;;;111,26;;;
28 неделя (на 17 июля 2017 года);;;;;;;111,75;;;
29 неделя (на 24 июля 2017 года);;;;;;;111,24;;;
30 неделя (на 31 июля 2017 года);;;;;;;109,44;;;
31 неделя (на 7 августа 2017 года);;;;;;;108,13;;;
32 неделя (на 14 августа 2017 года);;;;;;;107;;;
33 неделя (на 21 августа 2017 года);;;;;;;105,2;;;
34 неделя (на 28 августа 2017 года);;;;;;;103,74;;;
35 неделя (на 4 сентября 2017 года);;;;;;;102,38;;;
36 неделя (на 11 сентября 2017 года);;;;;;;100,55;;;
37 неделя (на 18 сентября 2017 года);;;;;;;98,61;;;
38 неделя (на 25 сентября 2017 год);;;;;;;96,23;;;
39 неделя (на 2 октября 2017 года);;;;;;;93,98;;;
40 неделя (на 9 октября 2017 года);;;;;;;92,03;;;
41 неделя (на 16 октября 2017 года);;;;;;;90,35;;;
42 неделя (на 23 октября 2017 года);;;;;;;88,31;;;
43 неделя (на 30 октября 2017 года);;;;;;;87,29;;;
44 неделя (на 7 ноября 2017 года);;;;;;;86,81;;;
45 неделя (на 13 ноября 2017 года);;;;;;;86,51;;;
46 неделя (на 20 ноября 2017 года);;;;;;;86,21;;;
47 неделя (на 27 ноября 2017 года);;;;;;;86,94;;;
48 неделя (на 4 декабря 2017 года);;;;;;;87,55;;;
49 неделя (на 11 декабря 2017 года);;;;;;;88,13;;;
50 неделя (на 18 декабря 2017 года);;;;;;;88,59;;;
51 неделя (на 25 декабря 2017 года);;;;;;;88,96;;;
1 неделя (на 9 января 2018 года);;;;;;;;89,53;;
2 неделя (на 15 января 2018 года);;;;;;;;90,13;;
3 неделя (на 22 января 2018 года);;;;;;;;90,8;;
4 неделя (на 29 января 2018 года);;;;;;;;91,36;;
5 неделя (на 5 февраля 2018 года);;;;;;;;91,78;;
6 неделя (на 12 февраля 2018 года);;;;;;;;92,26;;
7 неделя (на 19 февраля 2018 года);;;;;;;;92,85;;
8 неделя (на 26 февраля 2018 года);;;;;;;;93,24;;
9 неделя (на 5 марта 2018 года);;;;;;;;93,8;;
10  неделя (на 12 марта 2018 года);;;;;;;;94,5;;
11 неделя (на 19 марта 2018 года);;;;;;;;95,75;;
12 неделя (на 26 марта 2018 года);;;;;;;;97,31;;
13 неделя (на 2 апреля 2018 года);;;;;;;;98,73;;
14 неделя (на 09 апреля 2018 года);;;;;;;;99,87;;
15 неделя (на 16 апреля 2018 года);;;;;;;;100,69;;
16 неделя (на 23 апреля 2018 года);;;;;;;;101,55;;
17 неделя (на 28 апреля 2018 года);;;;;;;;101,81;;
18 неделя (на 7 мая 2018 года);;;;;;;;102,36;;
19 неделя (на 14 мая 2018 года);;;;;;;;102,99;;
20 неделя (на 21 мая 2018 года);;;;;;;;103,87;;
21 неделя (на 28 мая 2018 года);;;;;;;;104,92;;
22 неделя (на 4 июня 2018 года);;;;;;;;106,18;;
23 неделя (на 9 июня 2018 года);;;;;;;;107,68;;
24 неделя (на 18 июня 2018 года);;;;;;;;108,93;;
25 неделя (на 25 июня 2018 года);;;;;;;;110,45;;
26 неделя (на 2 июля 2018 года);;;;;;;;111,58;;
